Player,Player ID,Team,Category,Scope,Current,Milestone,Away
Jake McCarthy,664983,COL,Extra-Base Hits,Season,58,60,2
Yohandy Morales,691002,WSH,Extra-Base Hits,Season,8,10,2
Cedric Mullins,656775,TB,Extra-Base Hits,Season,28,30,2
Tyler O'Neill,641933,BAL,Extra-Base Hits,Season,18,20,2
Cal Raleigh,663728,SEA,Extra-Base Hits,Season,38,40,2
Ben Rice,700250,NYY,Extra-Base Hits,Season,68,70,2
Julio Rodríguez,677594,SEA,Extra-Base Hits,Season,48,50,2
TJ Rumfield,681198,COL,Extra-Base Hits,Season,48,50,2
Max Schuemann,680474,NYY,Extra-Base Hits,Season,8,10,2
Braden Shewmake,669699,MIL,Extra-Base Hits,Season,8,10,2
Lenyn Sosa,672820,TOR,Extra-Base Hits,Season,8,10,2
Bryson Stott,681082,PHI,Extra-Base Hits,Season,48,50,2
Seiya Suzuki,673548,CHC,Extra-Base Hits,Season,58,60,2
Dansby Swanson,621020,CHC,Extra-Base Hits,Season,38,40,2
Samad Taylor,669392,SD,Extra-Base Hits,Season,8,10,2
