player_id,name,team,stolen_bases,caught_stealing,sb_pct,sb_opportunities
665966,Carlos Narváez,BOS,1,0,100.0,0
691723,Coby Mayo,BAL,1,0,100.0,0
660162,Yoán Moncada,LAA,1,0,100.0,0
666181,Will Benson,CIN,1,1,50.0,0
700337,Edgar Quero,CWS,1,0,100.0,0
608369,Corey Seager,TEX,1,0,100.0,0
656716,Zach McKinstry,DET,1,3,25.0,0
695336,Thomas Saggese,STL,1,2,33.3,0
641933,Tyler O'Neill,BAL,1,0,100.0,0
592518,Manny Machado,SD,1,1,50.0,0
677870,Leo Jiménez,MIA,1,0,100.0,0
643376,Danny Jansen,TEX,1,1,50.0,0
688363,Graham Pauley,MIA,1,1,50.0,0
666624,Christopher Morel,MIA,1,0,100.0,0
668670,Jake Rogers,DET,1,0,100.0,0
676914,Davis Schneider,TOR,1,0,100.0,0
630105,Jake Cronenworth,SD,1,0,100.0,0
666931,Jared Oliva,SF,1,0,100.0,0
663647,Ke'Bryan Hayes,CIN,1,0,100.0,0
691011,Drew Romo,CWS,1,0,100.0,0
675659,Greg Jones,MIL,1,1,50.0,0
673490,Ha-Seong Kim,ATL,1,0,100.0,0
664238,Dylan Moore,PHI,1,0,100.0,0
571771,Enrique Hernández,LAD,0,0,0.0,0
681909,Justin Dean,CHC,0,0,0.0,0
804668,Rafael Flores Jr.,PIT,0,0,0.0,0
665856,Jair Camargo,ATL,0,0,0.0,0
694224,Gabriel Gonzalez,MIN,0,0,0.0,0
683021,Michael Stefanic,ATH,0,0,0.0,0
669242,Tommy Edman,LAD,0,0,0.0,0
672012,Tyler Black,MIL,0,0,0.0,0
701162,Ben Malgeri,DET,0,0,0.0,0
683079,Omar Martinez,LAA,0,0,0.0,0
678011,Anthony Seigler,BOS,0,0,0.0,0
683734,Andrew Vaughn,MIL,0,0,0.0,0
664774,LaMonte Wade Jr.,HOU,0,0,0.0,0
622268,Donovan Walton,LAA,0,0,0.0,0
656577,Alex Jackson,MIN,0,0,0.0,0
641820,Trey Mancini,LAA,0,0,0.0,0
663457,Lars Nootbaar,STL,0,1,0.0,0
664770,Nathan Lukes,TOR,0,1,0.0,0
649966,Luis Urías,TOR,0,0,0.0,0
681198,TJ Rumfield,COL,0,0,0.0,0
650391,Eloy Jiménez,TOR,0,0,0.0,0
666018,Jonathan Aranda,TB,0,0,0.0,0
668952,Ryan Kreidler,MIN,0,3,0.0,0
669134,Luis Campusano,SD,0,0,0.0,0
691277,Deyvison De Los Santos,MIA,0,0,0.0,0
669384,Raynel Delgado,HOU,0,0,0.0,0
571657,Kyle Farmer,ATL,0,0,0.0,0
663624,Ryan Mountcastle,BAL,0,0,0.0,0
668942,Josh Rojas,KC,0,0,0.0,0
645305,Ali Sánchez,NYY,0,0,0.0,0
675961,Alika Williams,ATH,0,1,0.0,0
691406,Junior Caminero,TB,0,2,0.0,0
682818,Yohendrick Piñango,TOR,0,0,0.0,0
650402,Gleyber Torres,DET,0,0,0.0,0
805811,Bryce Eldridge,SF,0,0,0.0,0
676369,Nelson Velázquez,STL,0,0,0.0,0
608348,Carson Kelly,CHC,0,0,0.0,0
