player_id,name,team,sprint_speed,hp_to_1b,bolts,competitive_runs
592885,Christian Yelich,MIL,27.2,4.46,nan,131
823550,Sung-Mun Song,SD,27.2,4.33,nan,49
660670,Ronald Acuña Jr.,ATL,27.2,4.44,1.0,68
682674,Victor Bericoto,SF,27.1,4.66,nan,25
545121,Ildemaro Vargas,AZ,27.1,4.43,1.0,139
650859,Luis Rengifo,SD,27.1,4.35,nan,131
573262,Mike Yastrzemski,ATL,27.1,4.41,nan,90
669236,Jeremiah Jackson,BAL,27.1,4.66,nan,92
691016,Tyler Soderstrom,ATH,27.1,4.41,nan,156
595879,Javier Báez,DET,27.1,4.49,nan,46
621550,Patrick Wisdom,SEA,27.1,nan,nan,6
806068,Colt Emerson,SEA,27.1,4.36,nan,70
571970,Max Muncy,LAD,27.1,4.43,nan,108
645277,Ozzie Albies,ATL,27.1,4.27,nan,166
672695,Geraldo Perdomo,AZ,27.0,4.5,nan,177
656582,Connor Joe,SEA,27.0,nan,nan,12
805779,Jacob Wilson,ATH,27.0,4.49,1.0,132
691720,Kyle Karros,COL,27.0,4.6,nan,136
655316,Andruw Monasterio,BOS,27.0,4.52,nan,68
593428,Xander Bogaerts,SD,27.0,4.48,nan,170
664040,Brandon Lowe,PIT,27.0,4.34,nan,137
678391,Jorbit Vivas,WSH,27.0,4.51,nan,96
686681,Michael Massey,KC,27.0,4.49,nan,111
680757,Steven Kwan,CLE,27.0,4.32,nan,163
695506,Jac Caglianone,KC,27.0,4.44,nan,156
608701,Rob Refsnyder,SEA,27.0,4.55,nan,32
678554,Curtis Mead,BOS,27.0,4.67,nan,111
691019,Kyle Teel,CWS,27.0,nan,nan,22
695720,Tommy White,ATH,27.0,4.63,nan,29
663743,Nick Fortes,TB,27.0,4.51,nan,121
664770,Nathan Lukes,TOR,27.0,4.43,nan,120
668227,Randy Arozarena,SEA,27.0,4.43,nan,159
808959,Munetaka Murakami,CWS,27.0,4.37,nan,83
691740,Daniel Susac,SF,27.0,4.58,nan,45
596117,Garrett Stubbs,PHI,26.9,4.36,nan,13
695020,Tanner Murray,CWS,26.9,nan,nan,11
682848,Endy Rodríguez,PIT,26.9,nan,nan,41
641343,Jake Bauers,MIL,26.9,4.48,nan,142
663886,Tyler Stephenson,CIN,26.9,4.59,nan,71
676914,Davis Schneider,TOR,26.9,4.59,nan,29
663647,Ke'Bryan Hayes,CIN,26.9,4.61,nan,43
666624,Christopher Morel,MIA,26.9,nan,nan,19
815873,Sean Keys,TOR,26.9,nan,nan,9
643376,Danny Jansen,TEX,26.9,4.59,nan,36
596146,Max Kepler,AZ,26.9,nan,nan,27
680700,Richie Palacios,TB,26.9,4.41,nan,93
663853,Romy Gonzalez,BOS,26.9,4.49,nan,30
681481,Kerry Carpenter,DET,26.9,4.44,nan,55
690976,Alex Freeland,LAD,26.9,4.52,nan,77
656811,Ryan O'Hearn,PIT,26.9,4.57,nan,131
669397,Nick Allen,HOU,26.9,4.5,nan,48
703601,Max Clark,DET,26.9,nan,nan,6
672284,Jarred Kelenic,TEX,26.9,nan,nan,16
543807,George Springer,TOR,26.8,4.64,nan,117
699625,Jimmy Crooks,STL,26.8,4.47,nan,18
681508,Mickey Gasper,BOS,26.8,4.43,nan,44
683146,Brett Baty,NYM,26.8,4.42,nan,128
700250,Ben Rice,NYY,26.8,4.56,nan,142
643289,Mauricio Dubón,ATL,26.8,4.41,nan,161
694410,LuJames Groover,AZ,26.8,4.63,nan,20
663611,Nick Madrigal,LAA,26.8,4.37,nan,26
670770,TJ Friedl,CIN,26.8,4.42,nan,63
682641,Luis Matos,MIL,26.8,nan,nan,6
663616,Trevor Larnach,MIN,26.7,4.61,nan,124
666397,Edouard Julien,COL,26.7,4.54,nan,96
687093,Vaughn Grissom,LAA,26.7,4.61,nan,104
602104,Ramón Urías,STL,26.7,4.66,nan,22
669899,Ryan Ward,LAD,26.7,nan,nan,19
672820,Lenyn Sosa,TOR,26.7,4.72,nan,40
669065,Kyle Stowers,MIA,26.7,4.52,nan,98
592450,Aaron Judge,NYY,26.7,4.84,1.0,76
672356,Gabriel Arias,CLE,26.7,4.63,nan,38
650333,Luis Arraez,SF,26.7,4.55,nan,192
682985,Riley Greene,DET,26.7,4.72,nan,133
701398,Sal Stewart,CIN,26.7,4.68,nan,144
694378,Jacob Gonzalez,PIT,26.7,4.55,nan,41
666464,Jerar Encarnacion,SF,26.7,nan,nan,14
663757,Trent Grisham,NYY,26.7,4.54,nan,116
663698,Joey Bart,ATL,26.6,4.69,nan,40
596019,Francisco Lindor,NYM,26.6,4.52,nan,72
800050,Chase DeLauter,CLE,26.6,4.49,nan,150
701762,Nick Kurtz,ATH,26.6,4.47,nan,102
657757,Gavin Sheets,SD,26.6,4.51,nan,127
606466,Ketel Marte,AZ,26.6,4.5,1.0,158
641820,Trey Mancini,LAA,26.6,nan,nan,9
643217,Andrew Benintendi,CWS,26.6,4.48,nan,100
671732,Lawrence Butler,ATH,26.6,4.5,nan,114
620443,Luis Torrens,NYM,26.6,4.63,nan,92
695657,Colson Montgomery,CWS,26.5,4.67,nan,95
682877,Juan Brito,CLE,26.5,nan,nan,24
666969,Adolis García,PHI,26.5,4.5,nan,68
664761,Alec Bohm,PHI,26.5,4.69,nan,180
605141,Mookie Betts,LAD,26.5,4.6,nan,86
671277,Luis García Jr.,NYY,26.5,4.35,nan,143
688363,Graham Pauley,MIA,26.5,4.59,nan,40
665052,Griffin Conine,MIA,26.5,4.48,nan,44
669289,Santiago Espinal,LAD,26.4,4.44,nan,23
571771,Enrique Hernández,LAD,26.4,nan,nan,9
622268,Donovan Walton,ATH,26.4,4.49,nan,60
691406,Junior Caminero,TB,26.4,4.61,nan,176
660162,Yoán Moncada,LAA,26.4,4.39,nan,27
660821,Jesús Sánchez,TOR,26.4,4.55,nan,81
686797,Brooks Lee,MIN,26.4,4.47,nan,155
683227,Cody Freeman,TEX,26.4,nan,nan,6
679529,Spencer Torkelson,DET,26.4,4.73,1.0,99
668670,Jake Rogers,BAL,26.4,4.7,nan,28
663656,Kyle Tucker,LAD,26.4,4.55,nan,120
672960,Kazuma Okamoto,TOR,26.3,4.49,nan,131
676572,Eric Wagaman,NYM,26.3,4.66,nan,13
691011,Drew Romo,CWS,26.3,4.53,nan,45
600869,Jeimer Candelario,LAA,26.3,nan,nan,7
680777,Ryan Jeffers,MIN,26.3,4.65,nan,70
807799,Masataka Yoshida,BOS,26.3,4.42,nan,106
681807,David Fry,CLE,26.3,4.82,nan,52
691788,Joe Mack,MIA,26.3,4.56,nan,68
593871,Jorge Polanco,NYM,26.3,4.34,nan,34
686527,Dominic Canzone,SEA,26.2,4.5,nan,102
656484,Tristan Gray,MIN,26.2,4.61,nan,50
680728,Adrian Del Castillo,AZ,26.2,4.54,nan,47
624428,Adam Frazier,LAA,26.2,4.64,nan,31
665489,Vladimir Guerrero Jr.,TOR,26.2,4.58,nan,175
641555,J.C. Escarra,NYY,26.2,4.57,nan,41
668939,Adley Rutschman,BAL,26.2,4.5,nan,95
608324,Alex Bregman,CHC,26.2,4.67,nan,160
663624,Ryan Mountcastle,BAL,26.2,nan,nan,7
680718,Addison Barger,TOR,26.1,nan,nan,7
805811,Bryce Eldridge,SF,26.1,4.51,nan,79
668942,Josh Rojas,KC,26.1,4.42,nan,25
695238,Will Wagner,SD,26.1,4.61,nan,21
686948,Drake Baldwin,ATL,26.1,4.42,1.0,128
641487,J.P. Crawford,SEA,26.1,4.61,nan,107
642086,Dominic Smith,ATL,26.1,4.52,nan,90
687859,Troy Johnston,COL,26.1,4.5,nan,125
687952,Christian Encarnacion-Strand,BAL,26.1,nan,nan,13
500743,Miguel Rojas,LAD,26.1,4.56,nan,76
605137,Josh Bell,MIN,26.1,4.73,nan,141
682988,Tyler Locklear,AZ,26.1,4.7,nan,15
672613,Eliezer Alfonzo,LAD,26.1,nan,nan,12
650490,Yandy Díaz,TB,26.1,4.66,nan,189
672515,Gabriel Moreno,AZ,26.0,4.49,nan,131
646240,Rafael Devers,SF,26.0,4.61,1.0,149
666182,Bo Bichette,NYM,26.0,4.69,nan,171
665561,Rafael Marchán,PHI,26.0,nan,nan,25
643446,Jeff McNeil,ATH,26.0,4.38,nan,115
666971,Lourdes Gurriel Jr.,AZ,26.0,4.65,nan,62
624424,Michael Conforto,CHC,26.0,4.62,nan,55
650391,Eloy Jiménez,TOR,26.0,nan,nan,12
670242,Matt Wallner,MIN,26.0,4.43,nan,35
553993,Eugenio Suárez,CIN,26.0,4.74,nan,69
624585,Jorge Soler,LAA,26.0,4.81,nan,93
666126,Carlos Cortes,ATH,26.0,4.59,nan,106
701852,Drew Cavanaugh,SF,25.9,nan,nan,17
671056,Iván Herrera,STL,25.9,4.73,nan,184
661388,William Contreras,MIL,25.9,4.59,nan,154
605244,Aramis Garcia,AZ,25.9,nan,nan,5
572233,Christian Walker,HOU,25.9,4.69,nan,157
656941,Kyle Schwarber,PHI,25.9,4.55,nan,79
677595,Ronny Mauricio,NYM,25.9,nan,nan,15
665742,Juan Soto,NYM,25.9,4.48,nan,106
664774,LaMonte Wade Jr.,HOU,25.8,nan,nan,27
