Team,Batter ID,Player Name,Position,Injury Description,Expected Return,Severity,Status
PHI,665561,Rafael Marchán,C,Left knee patellar tendinitis,,⚪,Injured 10-Day
PHI,621383,Tanner Banks,P,Left forearm strain.,,🟡,Injured 60-Day
PIT,682848,Endy Rodríguez,C,Left hip inflammation.,,🟡,Injured 10-Day
PIT,804606,Konnor Griffin,SS,Left ring finger sagittal back injury.,,⚪,Injured 60-Day
PIT,656605,Mitch Keller,P,Right arm teres major muscle injury.,,⚪,Injured 60-Day
PIT,656811,Ryan O'Hearn,RF,Left quad strain.,,🟡,Injured 10-Day
SD,663773,Bryan Hoeing,P,Torn right elbow flexor tendon.,,⚪,Injured 60-Day
SD,592094,Jason Adam,P,Right shoulder strain.,,🟡,Injured 60-Day
SD,669093,Jeremiah Estrada,P,Right shoulder impingement.,,⚪,Injured 15-Day
SD,605397,Joe Musgrove,P,Injured 60-Day,,⚪,Injured 60-Day
SD,608337,Lucas Giolito,P,Right elbow inflammation.,,🟡,Injured 60-Day
SD,609280,Miguel Andujar,DH,Right wrist fracture.,,🔴,Injured 10-Day
SD,601713,Nick Pivetta,P,Right elbow inflammation.,,🟡,Injured 60-Day
SD,657656,Ramón Laureano,LF,Injured 60-Day,,⚪,Injured 60-Day
SD,669392,Samad Taylor,LF,Right oblique strain.,,🟡,Injured 10-Day
SEA,680977,Brendan Donovan,3B,Concussion.,,⚪,Injured 7-Day
SEA,677961,Cole Wilcox,P,Left oblique strain.,,🟡,Injured 15-Day
SEA,806068,Colt Emerson,SS,Left wrist tendon inflammation.,,🟡,Injured 10-Day
SEA,681867,Cooper Criswell,P,Right shoulder strain.,,🟡,Injured 60-Day
SEA,688138,Logan Evans,P,Recovery from torn UCL in right arm.,,⚪,Injured 60-Day
SEA,670042,Luke Raley,RF,Left forearm strain.,,🟡,Injured 60-Day
SEA,666374,Matt Brash,P,Right lat strain.,,🟡,Injured 60-Day
SEA,669717,Will Wilson,3B,Left thumb fracture.,,🔴,Injured 60-Day
SF,605288,Adrian Houser,P,Right forearm strain.,,🟡,Injured 15-Day
SF,687931,Carson Whisenhunt,P,Left elbow sprain.,,🟡,Injured 60-Day
SF,669477,Casey Schmitt,LF,Left knee meniscus tear.,,🔴,Injured 10-Day
SF,691740,Daniel Susac,C,Left knee patella fracture.,,🔴,Injured 60-Day
SF,664056,Harrison Bader,CF,Left plantar fasciitis.,,⚪,Injured 60-Day
SF,806185,Hayden Birdsong,P,Tommy John surgery.,,🔴,Injured 60-Day
SF,664141,JT Brubaker,P,Bruised ribs,,🟢,Injured 10-Day
SF,683679,Jesus Rodriguez,C,Right elbow neuritis.,,⚪,Injured 10-Day
SF,666711,Joel Peguero,P,Left hamstring strain,,🟡,Injured 60-Day
SF,676130,José Buttó,P,Right arm fatigue,,⚪,Injured 60-Day
SF,676775,Keaton Winn,P,Right elbow neuritis.,,⚪,Injured 15-Day
SF,691785,Marcelo Mayer,2B,Injured 10-Day,,⚪,Injured 10-Day
SF,656305,Matt Chapman,3B,Abdominal strain.,,🟡,Injured 60-Day
SF,657424,Matt Gage,P,Left elbow strain.,,🟡,Injured 60-Day
SF,678495,Randy Rodríguez,P,Injured 60-Day,,⚪,Injured 60-Day
SF,592858,Rowan Wick,P,Recovery from Tommy John surgery.,,🔴,Injured 60-Day
SF,686790,Trevor McDonald,P,Right elbow strain.,,🟡,Injured 60-Day
SF,682674,Victor Bericoto,LF,Right knee bone bruise,,🟢,Injured 10-Day
SF,642715,Willy Adames,SS,Left elbow sprain,,🟡,Injured 10-Day
STL,669467,Andre Pallante,P,Right elbow inflammation.,,🟡,Injured 15-Day
STL,691458,Blaze Jordan,3B,Left ankle sprain,,🟡,Injured 10-Day
STL,677592,Everson Pereira,RF,Left hand contusion.,,🟢,Injured 10-Day
STL,690928,Hunter Dobbins,P,Right forearm tightness.,,🟢,Injured 15-Day
STL,691026,Masyn Winn,SS,Left thumb fracture.,,🔴,Injured 10-Day
STL,691008,Max Rajcic,P,Right elbow soreness.,,🟡,Injured 60-Day
